GalaxyID_test,Mass_Host,GroupID_test,GalaxyID_V1,GalaxyID_V2,R_1,R_2,r_sep_1,r_sep_2,mu_1,mu_2,N_1,N_2,N_3
8633758,11249180672.0,28000000000698,17527003,14642196,259.593437560782,1411.7873757249056,34.07101273941641,152.54341284002547,2.768581355397756,6.245817952491678,1,5,5
17527003,31144271872.0,28000000000698,8633758,14642196,259.593437560782,1281.4092868111684,34.07101273941641,119.95921092527855,0.36119581534071704,2.2559633078199197,1,5,5
17643577,24916045824.0,28000000000716,11204618,9230667,1118.33642627497,1760.4102438393027,91.02553329713277,158.88317326390737,0.4623930157048663,0.4062306890706736,0,2,2
8649268,10706502656.0,28000000000766,17778320,16707699,766.7709911095985,1407.948666316616,69.4495628681157,138.9785741675768,2.6001094727604017,4.2931651065570895,1,2,2
17778320,27838078976.0,28000000000766,8649268,16707699,766.7709911095985,1570.9881390142764,69.4495628681157,114.10091433471102,0.38459919110188534,1.651147827248696,1,2,2
17827660,57254735872.0,28000000000787,10799982,8849003,2840.6269161787127,3549.536194787122,309.6388124655744,380.49680279803226,0.22697465776547737,0.4534143041378626,0,0,1
8660832,15590037504.0,28000000000792,17837673,8328197,424.89901347452553,2666.379213116988,32.094647527133475,219.89632181102172,2.4561840058547175,0.7764370350548709,1,1,2
13709939,92809068544.0,28000000000117,1022649,18208178,73.12465236234901,345.38701677156513,7.930133424142354,11.60031014804498,0.11457807775496168,0.7530928839660094,3,3,5
18208178,69893849088.0,28000000000117,1022649,13709939,288.36039153435655,345.38701677156513,10.36935124605082,11.60031014804498,0.15214335468363438,1.327857454625922,3,3,5
1021935,16657281024.0,28000000000117,13709939,1022649,457.9891698982426,460.546761050231,49.7773910220996,63.64911521193925,5.571681741472672,0.638392583800356,3,3,6
1022649,10633884672.0,28000000000117,13709939,18208178,73.12465236234901,288.36039153435655,7.930133424142354,10.36935124605082,8.727673038280624,6.572748458711138,3,3,5
14175622,210767462400.0,28000000000138,16680962,17508359,2283.3777748313746,3500.5082698940682,98.15678353474863,154.19506041368186,0.18593916462126556,0.17279610703326473,0,0,1
