GalaxyID_test,Mass_Host,SubGroupNumber,GroupID_test,GalaxyID_V1,GalaxyID_V2,R_1[kpc],R_2[kpc],r_sep_1,r_sep_2,mu_1,mu_2,N_1,N_2,N_3
49626439,1218998528.0,395,28000000000000,103525,49624262,122.53325936900072,188.8340202545047,15.672973117756442,28.238846146644484,0.9220490609156831,2.973559095224765,14,77,132
49626687,2095247616.0,398,28000000000000,50758,8077031,29.795728228607306,32.978453573122884,5.432720303924098,3.0741188619301285,8.66458200995753,33.306592742115306,36,94,132
49626951,1329396608.0,400,28000000000000,8097696,27473,356.7500824391624,410.39109755376677,29.84487631142241,45.193734575950984,37.51138633866591,20.316572325720873,40,102,138
12174564,44126593024.0,2,28000000000029,12182126,7136745,182.85264672921258,355.74533099355574,16.658711434856446,31.793380976772738,0.30186694741547787,0.05741918245584787,20,31,34
12176835,33468026880.0,3,28000000000029,49810999,7139391,29.856558376144758,282.9343234599932,3.966971823837867,30.07098330657567,0.06479449032879467,0.05166501981726626,23,33,37
12178297,39494868992.0,4,28000000000029,7134647,7134286,290.06671752506776,354.16389063257986,31.06180082767255,39.252770766846105,0.07993796502121589,0.10416560148188679,19,34,37
12180228,16077680640.0,5,28000000000029,7138064,7136181,484.442175496858,715.1173092770882,47.8787572154626,68.31660560113573,0.10297162862416454,0.23273419417789853,11,29,36
12181021,20418895872.0,6,28000000000029,7135776,7138901,335.4747821874773,347.18724168420755,38.69346738432794,39.90567269712311,0.12157288736674743,0.06391309736730509,17,35,37
12182126,13320359936.0,7,28000000000029,12174564,7136745,182.85264672921258,429.34048072328443,16.658711434856446,62.699667873420324,3.3127177670884222,0.19021354589317907,18,32,33
7139564,1034803904.0,30,28000000000029,7140817,7136181,401.9610259243899,538.4002182115709,47.357997260811516,64.83327782773148,1.0340025620931557,3.6159759675587773,18,29,35
7140390,1488555136.0,35,28000000000029,17199679,7138246,79.1014999806358,329.03519640531124,8.393385876738355,44.73308190869579,96.00951249413444,0.8245352250089579,6,31,37
7140817,1069989888.0,38,28000000000029,7136181,18849992,363.82508846343757,375.2950018894843,41.02606231082288,16.565557611238205,3.4970667386344494,250.6872310778324,23,30,37
49810999,2168543744.0,40,28000000000029,12176835,7139391,29.856558376144758,298.2471932586535,3.966971823837867,42.99024512924739,15.433411003398232,0.7973674853385849,23,33,37
49811313,1049955584.0,43,28000000000029,7134647,7135147,186.57324387177337,222.43286248564667,20.193586757492284,27.084338315796952,3.006926677766971,8.27130711083489,22,32,37
49811753,1107407872.0,51,28000000000029,7135147,18849992,203.41705759962957,219.8377335467562,31.99911616747485,10.447426405620494,7.8421919399178694,242.21681016188407,24,33,37
7137454,1494528896.0,19,28000000000029,7136745,49810999,394.37478219366943,436.25775248788847,50.221940959529235,63.68831696186081,1.695325465289632,1.4509881674445724,22,33,37
7138064,1655544960.0,22,28000000000029,7137148,12174564,409.76860489383887,462.5409106407448,55.853526137819166,39.696698314234645,1.3228120268023407,26.65381737745135,16,29,35
7138246,1227366144.0,23,28000000000029,17199679,7140390,289.69362549314064,329.03519640531124,30.407081167983208,44.73308190869579,116.4407651511691,1.2128044620399763,5,29,36
7138731,1440404864.0,25,28000000000029,18849992,49811753,209.4935473504696,275.79810131738344,9.889579598102612,46.22252648789908,186.22042247144202,0.7688170872491583,23,32,37
7138901,1305034880.0,26,28000000000029,7135776,12181021,207.62542548321613,347.18724168420755,25.404142631659756,39.90567269712311,1.9021592189168155,15.64624531108318,21,33,37
