GalaxyID,SnapNum,Redshift,SubGroupNumber,CentreOfPotential_x,CentreOfPotential_y,CentreOfPotential_z,Stars_Mass,SF_Mass,NSF_Mass,MassType_DM,MassType_BH,HalfMassRad_Star,HalfMassRad_Gas,HalfMassRad_DM,Stars_Hydrogen,Stars_Oxygen,Stars_Metallicity,SF_Hydrogen,SF_Oxygen,SF_Metallicity,NSF_Hydrogen,NSF_Oxygen,NSF_Metallicity,StarFormationRate,InitialMassWeightedStellarAge,ap_GalaxyID,ApertureSize
13631,28,2.220446049250313e-16,45,16.98701286315918,79.78096771240234,52.654659271240234,52623806464.0,0.0,6069262.0,39584874496.0,0.0,2.3322932720184326,7.556290149688721,5.557877063751221,0.6976193189620972,0.012018115259706974,0.025387665256857872,0.0,0.0,0.0,0.7297547459602356,0.006276790518313646,0.011250716634094715,0.0,10.899063110351562,13631,1
13631,28,2.220446049250313e-16,45,16.98701286315918,79.78096771240234,52.654659271240234,52623806464.0,0.0,6069262.0,39584874496.0,0.0,2.3322932720184326,7.556290149688721,5.557877063751221,0.6976193189620972,0.012018115259706974,0.025387665256857872,0.0,0.0,0.0,0.7297547459602356,0.006276790518313646,0.011250716634094715,0.0,10.899063110351562,13631,3
13631,28,2.220446049250313e-16,45,16.98701286315918,79.78096771240234,52.654659271240234,52623806464.0,0.0,6069262.0,39584874496.0,0.0,2.3322932720184326,7.556290149688721,5.557877063751221,0.6976193189620972,0.012018115259706974,0.025387665256857872,0.0,0.0,0.0,0.7297547459602356,0.006276790518313646,0.011250716634094715,0.0,10.899063110351562,13631,5
13631,28,2.220446049250313e-16,45,16.98701286315918,79.78096771240234,52.654659271240234,52623806464.0,0.0,6069262.0,39584874496.0,0.0,2.3322932720184326,7.556290149688721,5.557877063751221,0.6976193189620972,0.012018115259706974,0.025387665256857872,0.0,0.0,0.0,0.7297547459602356,0.006276790518313646,0.011250716634094715,0.0,10.899063110351562,13631,10
13631,28,2.220446049250313e-16,45,16.98701286315918,79.78096771240234,52.654659271240234,52623806464.0,0.0,6069262.0,39584874496.0,0.0,2.3322932720184326,7.556290149688721,5.557877063751221,0.6976193189620972,0.012018115259706974,0.025387665256857872,0.0,0.0,0.0,0.7297547459602356,0.006276790518313646,0.011250716634094715,0.0,10.899063110351562,13631,20
13631,28,2.220446049250313e-16,45,16.98701286315918,79.78096771240234,52.654659271240234,52623806464.0,0.0,6069262.0,39584874496.0,0.0,2.3322932720184326,7.556290149688721,5.557877063751221,0.6976193189620972,0.012018115259706974,0.025387665256857872,0.0,0.0,0.0,0.7297547459602356,0.006276790518313646,0.011250716634094715,0.0,10.899063110351562,13631,30
13631,28,2.220446049250313e-16,45,16.98701286315918,79.78096771240234,52.654659271240234,52623806464.0,0.0,6069262.0,39584874496.0,0.0,2.3322932720184326,7.556290149688721,5.557877063751221,0.6976193189620972,0.012018115259706974,0.025387665256857872,0.0,0.0,0.0,0.7297547459602356,0.006276790518313646,0.011250716634094715,0.0,10.899063110351562,13631,40
13631,28,2.220446049250313e-16,45,16.98701286315918,79.78096771240234,52.654659271240234,52623806464.0,0.0,6069262.0,39584874496.0,0.0,2.3322932720184326,7.556290149688721,5.557877063751221,0.6976193189620972,0.012018115259706974,0.025387665256857872,0.0,0.0,0.0,0.7297547459602356,0.006276790518313646,0.011250716634094715,0.0,10.899063110351562,13631,50
13631,28,2.220446049250313e-16,45,16.98701286315918,79.78096771240234,52.654659271240234,52623806464.0,0.0,6069262.0,39584874496.0,0.0,2.3322932720184326,7.556290149688721,5.557877063751221,0.6976193189620972,0.012018115259706974,0.025387665256857872,0.0,0.0,0.0,0.7297547459602356,0.006276790518313646,0.011250716634094715,0.0,10.899063110351562,13631,70
13631,28,2.220446049250313e-16,45,16.98701286315918,79.78096771240234,52.654659271240234,52623806464.0,0.0,6069262.0,39584874496.0,0.0,2.3322932720184326,7.556290149688721,5.557877063751221,0.6976193189620972,0.012018115259706974,0.025387665256857872,0.0,0.0,0.0,0.7297547459602356,0.006276790518313646,0.011250716634094715,0.0,10.899063110351562,13631,100
21793,28,2.220446049250313e-16,54,11.277281761169434,81.03477478027344,54.13380813598633,40004214784.0,0.0,0.0,75883126784.0,59539836.0,3.7528293132781982,0.0,8.762310981750488,0.6994057297706604,0.011008589528501034,0.024018505588173866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.753274917602539,21793,1
21793,28,2.220446049250313e-16,54,11.277281761169434,81.03477478027344,54.13380813598633,40004214784.0,0.0,0.0,75883126784.0,59539836.0,3.7528293132781982,0.0,8.762310981750488,0.6994057297706604,0.011008589528501034,0.024018505588173866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.753274917602539,21793,3
21793,28,2.220446049250313e-16,54,11.277281761169434,81.03477478027344,54.13380813598633,40004214784.0,0.0,0.0,75883126784.0,59539836.0,3.7528293132781982,0.0,8.762310981750488,0.6994057297706604,0.011008589528501034,0.024018505588173866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.753274917602539,21793,5
21793,28,2.220446049250313e-16,54,11.277281761169434,81.03477478027344,54.13380813598633,40004214784.0,0.0,0.0,75883126784.0,59539836.0,3.7528293132781982,0.0,8.762310981750488,0.6994057297706604,0.011008589528501034,0.024018505588173866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.753274917602539,21793,10
21793,28,2.220446049250313e-16,54,11.277281761169434,81.03477478027344,54.13380813598633,40004214784.0,0.0,0.0,75883126784.0,59539836.0,3.7528293132781982,0.0,8.762310981750488,0.6994057297706604,0.011008589528501034,0.024018505588173866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.753274917602539,21793,20
21793,28,2.220446049250313e-16,54,11.277281761169434,81.03477478027344,54.13380813598633,40004214784.0,0.0,0.0,75883126784.0,59539836.0,3.7528293132781982,0.0,8.762310981750488,0.6994057297706604,0.011008589528501034,0.024018505588173866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.753274917602539,21793,30
