GalaxyID,SnapNum,Redshift,SubGroupNumber,CentreOfPotential_x,CentreOfPotential_y,CentreOfPotential_z,Stars_Mass,SF_Mass,NSF_Mass,MassType_DM,MassType_BH,HalfMassRad_Star,HalfMassRad_Gas,HalfMassRad_DM,Stars_Hydrogen,Stars_Oxygen,Stars_Metallicity,SF_Hydrogen,SF_Oxygen,SF_Metallicity,NSF_Hydrogen,NSF_Oxygen,NSF_Metallicity,StarFormationRate,InitialMassWeightedStellarAge,ap_GalaxyID,ApertureSize,Mass_Star,SFR
17958688,28,2.220446049250313e-16,0,18.20117950439453,63.19831466674805,69.82389068603516,40538312704.0,51961108.0,93707173888.0,2011373109248.0,60784388.0,3.1108527183532715,241.94711303710938,124.94393157958984,0.6944973468780518,0.011405441910028458,0.02590877190232277,0.6573466658592224,0.018050841987133026,0.04229997098445892,0.7469916343688965,0.0010064459638670087,0.002278433181345463,0.015393124893307686,8.73318099975586,17958688,10,34340737024.0,0.0
17961350,28,2.220446049250313e-16,0,27.88948631286621,76.08406829833984,46.1312255859375,30421770240.0,980875264.0,57236336640.0,1655710285824.0,82640920.0,5.2678046226501465,186.03799438476562,118.2214584350586,0.7120090126991272,0.008477230556309223,0.018563183024525642,0.6778222322463989,0.014099459163844585,0.03374936431646347,0.745492160320282,0.0013064633822068572,0.0029700465966016054,0.2964731752872467,8.220479011535645,17961350,10,20803422208.0,0.1446899026632309
17964092,28,2.220446049250313e-16,0,84.91450500488281,67.59182739257812,46.99766540527344,48676323328.0,0.0,77108248576.0,1789744250880.0,68391312.0,3.270111322402954,224.36026000976562,122.06452941894531,0.6866055727005005,0.012824430130422115,0.029309798032045364,0.0,0.0,0.0,0.7456055879592896,0.0012885280884802341,0.0029210636857897043,0.0,6.872800350189209,17964092,10,39888515072.0,0.0
17966782,28,2.220446049250313e-16,0,69.2273178100586,88.0565185546875,76.09296417236328,46759313408.0,1216840960.0,105205743616.0,1908353400832.0,43781328.0,5.92977237701416,201.3592987060547,122.43821716308594,0.6970752477645874,0.010950565338134766,0.024939563125371933,0.6485903263092041,0.018033580854535103,0.04636561870574951,0.7447057366371155,0.0014572279760614038,0.0033282211516052485,0.4226737320423126,7.932922840118408,17966782,10,33038563328.0,0.26910829544067383
17969165,28,2.220446049250313e-16,0,31.00212860107422,10.245033264160156,5.180555820465088,48747941888.0,4333755904.0,102209994752.0,1882370736128.0,92187840.0,8.057523727416992,192.0117645263672,100.35311889648438,0.7059144973754883,0.00942506454885006,0.021167613565921783,0.6359196901321411,0.02064334601163864,0.05122942104935646,0.7444663047790527,0.0015209795674309134,0.0034406334161758423,1.9075556993484497,7.804027080535889,17969165,10,29780555776.0,1.3425959348678589
17971916,28,2.220446049250313e-16,0,64.3771743774414,91.45112609863281,32.895999908447266,66620874752.0,20857174.0,51583614976.0,1986408349696.0,96329776.0,5.176307678222656,235.78713989257812,126.87897491455078,0.70464026927948,0.009779217652976513,0.021639494225382805,0.6389422416687012,0.02263874188065529,0.051195040345191956,0.7445681691169739,0.0015109333908185363,0.003372053150087595,0.005507320165634155,9.524581909179688,17971916,10,47345127424.0,0.0
17974615,28,2.220446049250313e-16,0,4.391922950744629,30.60560417175293,63.675453186035156,24480747520.0,2616631808.0,87274799104.0,1519892299776.0,35170264.0,5.116187572479248,198.68133544921875,148.17088317871094,0.710189700126648,0.008602297864854336,0.019230566918849945,0.685905396938324,0.012586044147610664,0.029645252972841263,0.7425825595855713,0.0019103186205029488,0.004315325990319252,0.9865215420722961,6.1676201820373535,17974615,10,17152661504.0,0.39905357360839844
17976051,28,2.220446049250313e-16,0,88.80986022949219,44.05604553222656,16.010234832763672,39471894528.0,6798969856.0,130756132864.0,1735054458880.0,38372208.0,7.036608695983887,204.8415069580078,141.91807556152344,0.6994540095329285,0.0105478186160326,0.023955218493938446,0.6656308174133301,0.01578165963292122,0.03822358697652817,0.7441152930259705,0.0015703015960752964,0.0035835953895002604,3.327869415283203,6.533390998840332,17976051,10,25155221504.0,2.4019086360931396
17978268,28,2.220446049250313e-16,0,7.159215450286865,64.54531860351562,49.49018096923828,63640870912.0,4702378.0,11488101376.0,2207087067136.0,95098920.0,4.107421398162842,299.60687255859375,117.11386108398438,0.6950333714485168,0.011412106454372406,0.025836126878857613,0.5932661294937134,0.027812762185931206,0.06705684214830399,0.7419474720954895,0.0020204465836286545,0.004572619218379259,0.0010695436503738165,7.982661724090576,17978268,10,50437742592.0,0.0
17981470,28,2.220446049250313e-16,0,30.192996978759766,33.71778106689453,3.5086026191711426,29467344896.0,1357698432.0,85903523840.0,1919095668736.0,68196584.0,4.208914756774902,225.08169555664062,138.4156951904297,0.7115660905838013,0.008515323512256145,0.018716083839535713,0.6903337240219116,0.01151767186820507,0.028096530586481094,0.7457400560379028,0.0012834705412387848,0.002870401134714484,0.6284273862838745,8.385129928588867,17981470,10,23896834048.0,0.5604395866394043
17983453,28,2.220446049250313e-16,0,44.30516815185547,99.17581939697266,38.58794021606445,38842413056.0,1161024768.0,71567802368.0,2136933531648.0,92187000.0,7.768407821655273,209.96905517578125,123.3139877319336,0.7098352313041687,0.008774138987064362,0.019372042268514633,0.6940639615058899,0.011029336601495743,0.026189789175987244,0.7482406497001648,0.0007634165813215077,0.0017197862034663558,0.4456936717033386,9.661954879760742,17983453,10,22740353024.0,0.28829771280288696
17986236,28,2.220446049250313e-16,0,60.33667755126953,9.289582252502441,0.6936895847320557,17899827200.0,1820528512.0,41590198272.0,1419199643648.0,39271108.0,4.05468225479126,206.1742401123047,150.42625427246094,0.7126266956329346,0.008182848803699017,0.018235813826322556,0.6880655884742737,0.012251289561390877,0.02891451120376587,0.743228018283844,0.0017761602066457272,0.004009968601167202,0.6272808909416199,8.697144508361816,17986236,10,14465947648.0,0.23839160799980164
17987891,28,2.220446049250313e-16,0,4.390013694763184,32.04612350463867,44.40147018432617,25262204928.0,2700982272.0,92365012992.0,1697011073024.0,44863876.0,5.847439289093018,190.91128540039062,129.82473754882812,0.7126626968383789,0.008258634246885777,0.018198613077402115,0.6900994181632996,0.011986015364527702,0.028329387307167053,0.7449240684509277,0.0014353857841342688,0.0032483511604368687,1.0330499410629272,6.716699123382568,17987891,10,16893470720.0,0.4276728630065918
17990051,28,2.220446049250313e-16,0,81.60753631591797,5.1290788650512695,69.03517150878906,29751103488.0,1269075584.0,53549494272.0,1759427821568.0,51115464.0,6.765254020690918,192.80104064941406,128.72898864746094,0.7122060656547546,0.008339963853359222,0.018373800441622734,0.6991824507713318,0.010151507332921028,0.02430875599384308,0.7411024570465088,0.0021855595987290144,0.0049879178404808044,0.4714360237121582,7.814118385314941,17990051,10,18082879488.0,0.4094395339488983
17992290,28,2.220446049250313e-16,0,39.28810119628906,18.03131866455078,55.16069793701172,64533221376.0,7124527616.0,82515230720.0,2005875949568.0,121589144.0,4.738361835479736,199.940673828125,107.22701263427734,0.6992048621177673,0.010750174522399902,0.02410612441599369,0.6789881587028503,0.013725871220231056,0.03277568519115448,0.7452832460403442,0.0013516106409952044,0.00306440400891006,2.503242015838623,7.647405624389648,17992290,10,43181891584.0,0.6960282325744629
17995799,28,2.220446049250313e-16,0,77.90492248535156,80.2058334350586,43.1626091003418,45374205952.0,6846258688.0,118484582400.0,1689575096320.0,45701636.0,6.052302837371826,187.64251708984375,108.6695327758789,0.6981210112571716,0.010724596679210663,0.024474261328577995,0.6667330265045166,0.015763331204652786,0.03802276402711868,0.7443323135375977,0.001542193815112114,0.003500798949971795,2.6804745197296143,7.265626907348633,17995799,10,30023366656.0,1.0475280284881592
