GalaxyID,SnapNum,Stars_Mass,SF_Hydrogen,SF_Oxygen
18485614,12,13958948864.0,0.7336524128913879,0.004393492825329304
18487906,12,28031547392.0,0.6983785629272461,0.011142473667860031
21730551,12,10774769664.0,0.7402200102806091,0.0034043530467897654
21731199,12,11327214592.0,0.7243466377258301,0.007294513285160065
21735990,12,57172627456.0,0.7359702587127686,0.004036248661577702
21740639,12,12475494400.0,0.733688235282898,0.004693209659308195
21765733,12,75994603520.0,0.7032395005226135,0.010550608858466148
15946724,12,13034420224.0,0.7197814583778381,0.007101067807525396
15953521,12,16454577152.0,0.7223430871963501,0.007059544324874878
15967028,12,15072626688.0,0.7316587567329407,0.0051666367799043655
15978836,12,14058146816.0,0.7321086525917053,0.005352008156478405
16018193,12,26644082688.0,0.6933382153511047,0.01118438970297575
16036399,12,12547253248.0,0.7333120703697205,0.004871807526797056
19030865,12,17781753856.0,0.7417784333229065,0.002764489036053419
19054228,12,12916824064.0,0.7343227863311768,0.00452504912391305
19059466,12,18109534208.0,0.7344356179237366,0.004542975220829248
19076582,12,46171017216.0,0.740098237991333,0.0029408056288957596
19104588,12,63212388352.0,0.7396503686904907,0.00355147453956306
19107611,12,27690317824.0,0.6745267510414124,0.01604369841516018
19128195,12,16380998656.0,0.7287181615829468,0.005858511198312044
63905323,12,30707894272.0,0.7376684546470642,0.0038078867364674807
63927075,12,11201429504.0,0.7367222309112549,0.004521549679338932
3436899,12,24891947008.0,0.7335634231567383,0.004515433218330145
3437911,12,24182495232.0,0.6889078617095947,0.013959241099655628
3443197,12,25690753024.0,0.6831676363945007,0.013086585327982903
6053334,12,13398491136.0,0.7135419845581055,0.009367566555738449
6068079,12,31000066048.0,0.736846387386322,0.0039456430822610855
6076673,12,10315573248.0,0.7268599271774292,0.006081912200897932
16268687,12,23888437248.0,0.6910389065742493,0.012391708791255951
16287125,12,16686142464.0,0.7256564497947693,0.006529686041176319
16291715,12,12893675520.0,0.7282953858375549,0.006491351407021284
16300547,12,13672409088.0,0.7347487807273865,0.0043763029389083385
16317366,12,10564148224.0,0.728808581829071,0.005506268702447414
16326036,12,14348045312.0,0.7210289835929871,0.008109441958367825
16331617,12,12388098048.0,0.7284443378448486,0.005996727850288153
20217872,12,10147978240.0,0.7409807443618774,0.0024100583977997303
20225936,12,17047286784.0,0.7320935130119324,0.004906461574137211
20232591,12,11797042176.0,0.7336300611495972,0.004747405648231506
20242637,12,30251937792.0,0.7319106459617615,0.004939300008118153
20249986,12,10740897792.0,0.7245179414749146,0.006866701412945986
20283471,12,13099459584.0,0.7417389154434204,0.003091132966801524
20294930,12,13102409728.0,0.7374038696289062,0.0032020392827689648
20309035,12,24318318592.0,0.7383620738983154,0.003931171260774136
20314214,12,13781061632.0,0.7410855293273926,0.0031440849415957928
13176902,12,10368152576.0,0.7316612601280212,0.0056823366321623325
17317501,12,11445572608.0,0.7075663805007935,0.009601353667676449
17370989,12,12737976320.0,0.7297370433807373,0.005972449202090502
20755906,12,34407542784.0,0.7113634943962097,0.008468885906040668
20762818,12,10493798400.0,0.7267441749572754,0.006421026773750782
20773862,12,10248123392.0,0.7253169417381287,0.006664723623543978
20782084,12,24824598528.0,0.7349312901496887,0.004473634995520115
20788497,12,10637086720.0,0.7289302945137024,0.005913201719522476
20796020,12,18905716736.0,0.737547755241394,0.003636785550042987
20809104,12,38361403392.0,0.7337616086006165,0.0048543731682002544
20812470,12,15091490816.0,0.7236719131469727,0.007247851695865393
20823340,12,19157329920.0,0.7288658022880554,0.005805895198136568
20845364,12,12489081856.0,0.7327097654342651,0.005018176976591349
17,12,69962080256.0,0.7287696599960327,0.004899334628134966
12228,12,15763777536.0,0.7163570523262024,0.0075184921734035015
13647,12,51745533952.0,0.7357322573661804,0.0037927625235170126
17822,12,15752830976.0,0.7252811193466187,0.004877291154116392
26279,12,16295390208.0,0.7121522426605225,0.009825353510677814
27489,12,16921512960.0,0.7122095823287964,0.008946816436946392
34172,12,16807487488.0,0.7235919833183289,0.006684698164463043
68782,12,12497107968.0,0.6924682259559631,0.01111469604074955
7197635,12,10575509504.0,0.7234153151512146,0.005315462592989206
13674958,12,10436630528.0,0.7347761988639832,0.004430681932717562
13698399,12,13603189760.0,0.7106088995933533,0.009645550511777401
17189724,12,16790236160.0,0.7159523367881775,0.008127737790346146
17196204,12,17567434752.0,0.7222563624382019,0.0069350297562778
17199695,12,16798449664.0,0.714581310749054,0.008377266116440296
17217422,12,12908331008.0,0.7239980697631836,0.007158311549574137
17219959,12,15942867968.0,0.7338623404502869,0.0042885891161859035
17229924,12,12907628544.0,0.730479896068573,0.005309834145009518
17234223,12,15874841600.0,0.728943943977356,0.006213790271431208
17236870,12,10151016448.0,0.7306687235832214,0.005545444320887327
