GalaxyID,Redshift,SnapNum,SubGroupNumber,CentreOfPotential_x,CentreOfPotential_y,CentreOfPotential_z,Stars_Mass,SF_Mass,NSF_Mass,MassType_DM,MassType_BH,HalfMassRad_Star,HalfMassRad_Gas,HalfMassRad_DM,Stars_Hydrogen,Stars_Oxygen,Stars_Metallicity,SF_Hydrogen,SF_Oxygen,SF_Metallicity,NSF_Hydrogen,NSF_Oxygen,NSF_Metallicity,StarFormationRate,InitialMassWeightedStellarAge
56981,3.0165045261383057,12,0,22.502399444580078,79.2889633178711,55.96179962158203,2486135296.0,4002639872.0,16379831296.0,220106637312.0,3615906.0,2.794724941253662,20.69331932067871,24.215734481811523,0.7433945536613464,0.0025322511792182922,0.004346465226262808,0.7340894937515259,0.004817876499146223,0.008936041966080666,0.7495996356010437,0.0006376660312525928,0.0011548285838216543,2.762965202331543,0.5953585505485535
57597,3.0165045261383057,12,0,22.910900115966797,79.15733337402344,55.553287506103516,1313353472.0,3242338304.0,12212264960.0,183740514304.0,9055688.0,2.285804271697998,15.91821002960205,21.191682815551758,0.7443982362747192,0.002235314343124628,0.0038174001965671778,0.7416136264801025,0.0029624118469655514,0.005229007452726364,0.7499780654907227,0.000550648255739361,0.0009831107454374433,1.9720531702041626,0.5560816526412964
59113,3.0165045261383057,12,0,14.61651611328125,83.95059204101562,51.950557708740234,1152371328.0,2439701504.0,16744137728.0,167840628736.0,3618047.0,3.1961140632629395,27.457427978515625,26.09564971923828,0.7464002966880798,0.0016245136503130198,0.002729241969063878,0.7419418692588806,0.002970999339595437,0.0050476412288844585,0.750285267829895,0.00046388048212975264,0.0008142078295350075,1.3405250310897827,0.5383437275886536
64025,3.0165045261383057,12,0,22.50440216064453,74.53175354003906,60.11140823364258,4043543040.0,9667008512.0,15905131520.0,310280257536.0,9120601.0,2.3323943614959717,11.989307403564453,20.998313903808594,0.742205798625946,0.002877430524677038,0.0050054881721735,0.7386537194252014,0.003681774018332362,0.006772155873477459,0.7493032813072205,0.0007245322340168059,0.0013225009897723794,8.828758239746094,0.5416131615638733
197379,3.0165045261383057,12,0,62.026878356933594,78.41490173339844,99.07878112792969,10289271808.0,8437516288.0,72889548800.0,1280143523840.0,85745128.0,1.0965540409088135,45.800418853759766,44.53036880493164,0.7337599992752075,0.005123123526573181,0.009388098493218422,0.739572286605835,0.0034416308626532555,0.0062711345963180065,0.7498844861984253,0.0005481785046868026,0.0010077055776491761,5.061343669891357,0.6449827551841736
198624,3.0165045261383057,12,2,62.068084716796875,78.56367492675781,99.03228759765625,1018628800.0,4870471168.0,518377536.0,16753040384.0,5424237.0,1.63355553150177,1.8573753833770752,3.917426347732544,0.7449987530708313,0.0020801702048629522,0.003496598917990923,0.7418330311775208,0.002964812098070979,0.005115573760122061,0.7493719458580017,0.0007023517391644418,0.0012409306364133954,5.060671806335449,0.4046703577041626
198936,3.0165045261383057,12,1,61.964134216308594,78.24732971191406,99.1054916381836,2271134976.0,6877477888.0,4492880384.0,58296311808.0,5425917.0,2.162226915359497,6.107503414154053,6.747471332550049,0.7438069581985474,0.002397391479462385,0.004130858927965164,0.7420889735221863,0.0028917889576405287,0.005050809122622013,0.7502341866493225,0.0004578629741445184,0.0008275180007331073,6.263175010681152,0.5205475091934204
203548,3.0165045261383057,12,0,62.558841705322266,80.79424285888672,99.26005554199219,3259303680.0,9379198976.0,22752002048.0,304007544832.0,10877835.0,4.326817035675049,17.193965911865234,24.744136810302734,0.7455540895462036,0.0019655919168144464,0.0032616094686090946,0.7409836649894714,0.003292378270998597,0.0056150625459849834,0.7498543858528137,0.0005808849819004536,0.0010238164104521275,6.9990034103393555,0.4972303509712219
204752,3.0165045261383057,12,0,62.316402435302734,81.95940399169922,99.98628234863281,1571942272.0,3607704576.0,10574631936.0,181442789376.0,3615907.75,2.344825029373169,18.240964889526367,23.410884857177734,0.7436408996582031,0.0024275530595332384,0.0041861459612846375,0.7393605709075928,0.0035908420104533434,0.006460991688072681,0.7496559619903564,0.0006354969227686524,0.0011370547581464052,2.9228196144104004,0.5465188026428223
205628,3.0165045261383057,12,0,60.50531005859375,80.71302795410156,99.64334869384766,3760556544.0,6098508288.0,21443393536.0,301341442048.0,10979228.0,2.3338704109191895,22.71333885192871,25.326087951660156,0.7425522208213806,0.0028119191993027925,0.004840221721678972,0.7352970242500305,0.004555834457278252,0.008412477560341358,0.7487013339996338,0.0009055531700141728,0.0016327443299815059,5.253464221954346,0.5287756323814392
