GalaxyID_test,GalaxyID_V1,GalaxyID_V2,R_1,R_2,mu_1,mu_2,N_1,N_2,N_3
10632940,10669398,10649315,0.1924978486555699,0.2058438903920013,0.1373202623879452,0.47715302484522965,30,40,46
10637653,10666539,10663958,0.8505542704631366,0.8611675235667169,0.5587847689047689,0.7841518137188268,2,34,46
10639641,10642203,15691064,0.36453799552531374,0.4088174941343058,0.8394257464656261,3.528043091343734,16,38,46
10642203,10639641,15691064,0.36453799552531374,0.4331171349253317,1.1912905986151443,4.202924566226901,21,40,46
13296285,615890,20278392,0.34323118760110266,0.35150365976716713,0.5253322737220077,9.820085683843622,2,2,2
20278392,13296285,17679479,0.35150365976716713,7.113228332042551,0.1018321053598583,0.13173496472191665,1,1,1
615890,20278392,13296285,0.1524732798251678,0.34323118760110266,18.69309420924738,1.9035571390178363,2,2,2
13305070,20309019,17921915,0.29774419247077666,1.1502033348695535,7.15946716058336,1.3119500994484337,1,2,3
17921915,13305070,20309019,1.1502033348695535,1.3525858830155226,0.7622241123503227,5.457118501376938,0,2,3
20309019,13305070,17921915,0.29774419247077666,1.3525858830155226,0.13967519894574376,0.18324689114734827,1,2,3
13643494,10297940,13652612,1.1343696755473298,1.1805045454177303,0.4146147505701858,0.5932122665418696,0,5,6
13645278,20390999,13646927,0.4640643747385214,0.4847774627149555,3.9543523444983966,1.5836448214380627,3,5,6
13646927,20390999,13652612,0.08110988890535895,0.22268306135873792,2.4969944592169107,0.31234031822263764,3,5,6
13652612,20390999,13646927,0.19421828200203517,0.22268306135873792,7.994467295884105,3.20163597735466,3,5,6
11269143,17535726,17788553,0.6411952846540098,2.3429455850949217,3.854855056989976,5.167940933441031,1,1,2
11591453,9755127,16971377,0.8171076568884489,1.9852514989147945,1.6064575555131857,5.922416307916516,1,2,3
11419697,9847064,17542160,8.332691570288832,8.49353595451433,0.3120911660815852,1.1243268948761724,0,0,0
11504642,5965712,16300531,0.45211408628694777,0.4547979807777623,0.6227306148786141,15.923945838575653,12,16,23
