GalaxyID,SnapNum,GroupID,SubGroupNumber,Stars_Mass,SF_Hydrogen,SF_Oxygen,SF_Mass,NSF_Mass,BlackHoleMass,StarFormationRate,KappaCoRot
13370297,28,28000000006820,0,1241454464.0,0.6498405337333679,0.018137022852897644,92174112.0,1572046336.0,978094.8125,0.030062325298786163,0.16873959611794664
13391544,28,28000000006897,0,1356652416.0,0.6339568495750427,0.02008899301290512,52507288.0,1942420352.0,526940.625,0.023214679211378098,0.19857482654062272
13413152,28,28000000006978,0,1870203648.0,0.6370176076889038,0.019668126478791237,214218016.0,646372096.0,161040.546875,0.09366850554943085,0.37986589493607437
13432947,28,28000000007057,0,2179621632.0,0.6913508176803589,0.011895890347659588,463339552.0,3865640704.0,191343.984375,0.13857871294021606,0.31379129031182407
13451747,28,28000000007134,0,1003221504.0,0.665838897228241,0.016300836578011513,87280936.0,1064632768.0,443836.40625,0.02556498348712921,0.18235345871966477
13470222,28,28000000007216,0,1887118464.0,0.6331782937049866,0.020080208778381348,101103808.0,992874816.0,303233.375,0.040273699909448624,0.2691418987699888
13485803,28,28000000007294,0,1606067968.0,0.686825156211853,0.012061558663845062,306107616.0,3732112128.0,173510.71875,0.09981612116098404,0.3344440012018237
13510998,28,28000100000046,0,2066440704.0,0.6864637732505798,0.01255366113036871,482968512.0,1261539200.0,611922.25,0.1834087371826172,0.4311604333094465
13530783,28,28000100000147,0,3124771072.0,0.5981460809707642,0.025936897844076157,60943104.0,582371392.0,415256.875,0.01855040155351162,0.344075630588653
13552548,28,28000100000266,0,1949571328.0,0.6732411980628967,0.0149375069886446,316102656.0,858059008.0,382964.9375,0.09662391245365143,0.49628497383131914
13575269,28,28000100000397,0,1603353728.0,0.669866144657135,0.014049640856683254,177541760.0,2007197184.0,203022.453125,0.06268817186355591,0.1702807377125853
13603832,28,28000100000613,0,1022975360.0,0.6538165211677551,0.017166605219244957,104041280.0,799595264.0,317829.3125,0.03394026309251785,0.16382400441594566
14007135,28,28000000000126,0,114523045888.0,0.7238752841949463,0.006493204738944769,1484294656.0,1191927611392.0,277113440.0,0.6723910570144653,0.14800624979200133
14254226,28,28000000000144,0,174715912192.0,0.6900812387466431,0.0127531373873353,5609452032.0,1071128903680.0,205429760.0,2.0270018577575684,0.15965445096728784
14582104,28,28000000000176,0,121932685312.0,0.6736496686935425,0.015505014918744564,4001593344.0,893862281216.0,287580320.0,2.2791106700897217,0.14308718770082612
14851689,28,28000000000208,0,132878123008.0,0.683071494102478,0.014133377932012081,6806587392.0,685921927168.0,276666688.0,2.673731565475464,0.21053817356542853
