GalaxyID_test,GroupID_test,snap_lm,z_lm,L_lm,snap_lmm,z_lmm,L_lmm
13305070,28000000000088,17.0,1.486707329750061,1.0069422721862793,10.0,3.983663558959961,1.4650155305862427
17921915,28000000000088,27.0,0.10063853859901428,1.0055034160614014,5.0,7.049566268920898,3.6545238494873047
20309019,28000000000088,27.0,0.10063853859901428,1.0055034160614014,15.0,2.0124101638793945,43.39596176147461
13643494,28000000000095,26.0,0.18270987272262573,1.011880874633789,,,
13645278,28000000000095,24.0,0.36566856503486633,1.0067025423049927,,,
13646927,28000000000095,24.0,0.36566856503486633,1.000970482826233,6.0,5.97116231918335,1.600420355796814
13652612,28000000000095,24.0,0.36566856503486633,1.8603012561798096,24.0,0.36566856503486633,1.8603012561798096
11269143,28000000003163,26.0,0.18270987272262573,1.0166325569152832,16.0,1.7369657754898071,1.6861567497253418
11591453,28000000003460,19.0,1.0041216611862183,1.0183629989624023,,,
11419697,28000000003411,16.0,1.7369657754898071,1.0170482397079468,3.0,8.987874984741211,5.79025936126709
11504642,28000000000011,22.0,0.615189790725708,1.004932165145874,4.0,8.074616432189941,1.3290377855300903
20532194,28000000000011,22.0,0.615189790725708,1.004932165145874,13.0,2.4784133434295654,1.7948323488235474
13235355,28000000000072,25.0,0.270901083946228,1.002164602279663,7.0,5.487415313720703,1.5541236400604248
17618660,28000000000072,27.0,0.10063853859901428,1.0093241930007935,16.0,1.7369657754898071,1.6353055238723755
19943794,28000000000072,27.0,0.10063853859901428,1.0093241930007935,10.0,3.983663558959961,1.513458490371704
234330,28000000000072,24.0,0.36566856503486633,1.0044403076171875,19.0,1.0041216611862183,5.12049674987793
13255950,28000000000079,24.0,0.36566856503486633,1.0044403076171875,25.0,0.270901083946228,7.7243475914001465
16291699,28000000000010,26.0,0.18270987272262573,1.0025922060012817,17.0,1.486707329750061,1.485982894897461
20163968,28000000000010,27.0,0.10063853859901428,1.0012385845184326,15.0,2.0124101638793945,34.68285369873047
11490585,28000000000010,22.0,0.615189790725708,1.0035494565963745,6.0,5.97116231918335,1.9714850187301636
11492327,28000000000010,23.0,0.5031073093414307,1.0091936588287354,9.0,4.485213756561279,1.5694206953048706
11493482,28000000000010,22.0,0.615189790725708,1.020758032798767,4.0,8.074616432189941,1.3538601398468018
11494447,28000000000010,24.0,0.36566856503486633,1.0152019262313843,9.0,4.485213756561279,1.4196795225143433
5372001,28000000000010,18.0,1.259331464767456,1.023484706878662,3.0,8.987874984741211,1.3831124305725098
5368409,28000000000010,19.0,1.0041216611862183,1.0080101490020752,,,
5368983,28000000000010,23.0,0.5031073093414307,1.025665521621704,6.0,5.97116231918335,1.6750274896621704
5370323,28000000000010,16.0,1.7369657754898071,1.0187662839889526,7.0,5.487415313720703,1.3495771884918213
13741790,28000000000134,18.0,1.259331464767456,1.0266324281692505,10.0,3.983663558959961,1.4100486040115356
14132544,28000000000134,18.0,1.259331464767456,1.0266324281692505,12.0,3.0165045261383057,1.5174579620361328
14240975,28000000000143,18.0,1.259331464767456,1.0266324281692505,24.0,0.36566856503486633,1.5614891052246094
14338940,28000000000152,18.0,1.259331464767456,1.0266324281692505,21.0,0.7356296181678772,1.5426928997039795
1393939,28000000000152,22.0,0.615189790725708,1.0070911645889282,7.0,5.487415313720703,1.6469484567642212
15134528,28000000000227,25.0,0.270901083946228,1.0009146928787231,13.0,2.4784133434295654,1.3103501796722412
15151455,28000000000229,25.0,0.270901083946228,1.0009146928787231,5.0,7.049566268920898,1.5772910118103027
10290857,28000000002121,24.0,0.36566856503486633,1.0064387321472168,,,
10321686,28000000002155,13.0,2.4784133434295654,1.8052887916564941,13.0,2.4784133434295654,1.8052887916564941
