GalaxyID_test,Snap_Last_Minor_Merger,L_Last_Minor_Merger,Redshift_Minor
15258677,20,1.4870604276657104,0.87
19419622,20,1.263706922531128,0.87
10017855,20,1.1002297401428225,0.87
18034408,20,1.7250032424926758,0.87
17317485,20,2.0382566452026367,0.87
9653950,20,1.2180942296981812,0.87
10744410,20,1.1292977333068848,0.87
17445073,20,1.4042825698852541,0.87
10392035,20,1.214461088180542,0.87
18644986,20,1.1223102807998655,0.87
10431233,20,1.1929504871368408,0.87
17647764,20,1.2850754261016846,0.87
18365400,20,1.2336537837982178,0.87
16852685,20,1.3318089246749878,0.87
15829793,20,1.4806661605834959,0.87
13749519,20,1.109779953956604,0.87
9383525,20,1.3132970333099363,0.87
16459278,20,1.1008508205413818,0.87
15841583,20,1.2818434238433838,0.87
8244581,20,1.1379125118255615,0.87
9868559,20,1.1934164762496948,0.87
17651635,20,1.2870160341262815,0.87
20782068,20,1.2485339641571045,0.87
17523254,20,1.1109923124313354,0.87
15507372,20,1.140273928642273,0.87
18007672,20,1.5490469932556152,0.87
12174564,20,1.3340568542480469,0.87
15518506,20,1.1136528253555298,0.87
10400500,20,1.160961389541626,0.87
7694028,20,1.5219812393188477,0.87
17805325,20,1.1572623252868652,0.87
11045622,20,1.1443768739700315,0.87
12720100,20,1.1646728515625,0.87
8061834,20,1.3654897212982178,0.87
8700632,20,1.1368234157562256,0.87
10414448,20,1.5339258909225464,0.87
18101296,20,1.127764105796814,0.87
10318134,20,8.891578674316406,0.87
17786783,20,1.1897684335708618,0.87
20670327,20,1.1380023956298828,0.87
11339147,20,1.143773078918457,0.87
17476483,20,1.1728224754333496,0.87
1383228,20,1.224541187286377,0.87
10961477,20,1.1338504552841189,0.87
18208178,20,1.188835382461548,0.87
18083055,20,1.1995296478271484,0.87
17454774,20,1.2589958906173706,0.87
17627268,20,1.110059142112732,0.87
16429681,20,1.159239411354065,0.87
14449267,20,1.272651433944702,0.87
10450101,20,1.6821146011352541,0.87
16612429,20,1.9228835105896,0.87
13637022,20,1.7983152866363523,0.87
16257030,20,1.2712063789367676,0.87
17635405,20,1.4823567867279053,0.87
10463417,19,1.1347135305404663,1.0
8464170,19,1.5162030458450315,1.0
10438463,19,1.6020860671997068,1.0
9900981,19,1.5090019702911377,1.0
9834051,19,1.266270637512207,1.0
21924775,19,1.2252711057662964,1.0
13833469,19,1.2191441059112549,1.0
17193503,19,1.2341623306274414,1.0
10868196,19,1.1500754356384275,1.0
18927202,19,1.1125953197479248,1.0
17344766,19,1.5174189805984497,1.0
14866782,19,1.1368570327758791,1.0
14427786,19,1.272817850112915,1.0
10545919,19,1.2783766984939575,1.0
20532194,19,1.1353064775466921,1.0
10005161,19,1.5599485635757446,1.0
18419292,19,1.1281651258468628,1.0
10612686,19,1.5646754503250122,1.0
8771480,19,1.1119654178619385,1.0
20278392,19,1.1805320978164673,1.0
234330,19,5.124452590942383,1.0
9998415,19,1.300455093383789,1.0
10223985,19,1.1395115852355957,1.0
7629050,19,1.102790355682373,1.0
15465662,19,10.09713649749756,1.0
8931579,19,1.600746512413025,1.0
18043220,19,1.9038748741149905,1.0
17485458,19,1.4298455715179443,1.0
15946708,19,1.1821926832199097,1.0
13265393,19,1.1244363784790041,1.0
10435970,19,1.518751859664917,1.0
8568949,19,1.2465276718139648,1.0
13727034,19,1.3084322214126587,1.0
8659421,19,1.1225372552871704,1.0
2618224,19,1.6668375730514526,1.0
17731118,19,1.3966622352600098,1.0
16608246,19,1.5405373573303225,1.0
18046918,19,1.2653703689575195,1.0
8752041,19,1.2457340955734253,1.0
9988502,19,1.4408112764358518,1.0
18018076,19,1.1809098720550537,1.0
8898960,19,1.3218027353286743,1.0
8553318,19,1.2616008520126345,1.0
9329031,19,1.5192784070968628,1.0
17795987,19,1.2387197017669678,1.0
2491994,19,1.1553202867507937,1.0
12642749,19,1.1130064725875854,1.0
8318302,19,1.6721798181533811,1.0
9902779,19,1.7636889219284058,1.0
14047307,19,1.5476135015487669,1.0
17723838,19,1.447979211807251,1.0
10806825,19,1.448849320411682,1.0
15451066,19,1.2873268127441406,1.0
20770175,19,3.987726211547852,1.0
10603734,19,1.1662464141845703,1.0
9630011,19,1.1041183471679688,1.0
10058549,19,1.2987122535705566,1.0
9860151,19,1.2174203395843506,1.0
10649315,19,1.4862815141677856,1.0
9289263,19,1.2027950286865234,1.0
12668053,19,1.1444616317749023,1.0
8572763,19,1.810157299041748,1.0
17458111,19,1.1775883436203003,1.0
15476545,19,1.587506651878357,1.0
16718086,19,1.4346323013305664,1.0
9604695,19,1.2495863437652588,1.0
9789621,19,1.2453650236129759,1.0
17917746,19,1.10856831073761,1.0
19845187,19,1.1411105394363403,1.0
16707699,19,1.7168058156967163,1.0
9858662,19,1.5182439088821411,1.0
9866839,19,1.9771456718444824,1.0
10192190,19,1.1568002700805664,1.0
15885742,19,1.3442732095718384,1.0
9098657,19,1.2161170244216921,1.0
10280513,19,1.3061429262161257,1.0
9953777,19,1.4910720586776731,1.0
14978115,19,1.126076340675354,1.0
10269192,19,1.2979720830917358,1.0
16041949,19,1.2363251447677612,1.0
10663958,19,1.2408567667007446,1.0
13806972,19,1.6338783502578735,1.0
9483123,19,1.2051994800567627,1.0
8729071,19,1.3266774415969849,1.0
10021712,19,1.6213804483413696,1.0
17951736,19,1.3740756511688232,1.0
10422405,19,1.2687350511550903,1.0
10201808,19,1.378247618675232,1.0
8918813,19,1.6754869222640991,1.0
9698916,19,1.3244225978851318,1.0
8523299,19,1.326129674911499,1.0
9199077,19,1.1075605154037476,1.0
9278205,19,1.386072278022766,1.0
9110372,19,1.2759917974472046,1.0
9743798,19,1.149210810661316,1.0
15700111,19,1.206674337387085,1.0
9179610,19,1.364497184753418,1.0
10267875,19,1.4315567016601562,1.0
8391630,19,1.7157418727874756,1.0
16454619,19,1.3373208045959473,1.0
9979896,19,1.4220774173736572,1.0
10187398,19,1.4047328233718872,1.0
1021935,19,1.562464475631714,1.0
1707823,19,1.6434396505355835,1.0
18078232,19,1.401683330535889,1.0
10629926,19,1.4467298984527588,1.0
17299380,19,1.4263426065444946,1.0
8903543,19,1.1129138469696045,1.0
21059562,19,1.2691854238510132,1.0
13720597,19,1.1515449285507202,1.0
17778320,19,1.9146081209182741,1.0
9508202,19,1.3258883953094482,1.0
12211753,19,1.5016417503356934,1.0
9281702,19,1.6267601251602173,1.0
10075159,19,1.3063064813613892,1.0
8585109,19,1.3588213920593262,1.0
17694922,19,1.8138577938079836,1.0
14115665,19,1.1149827241897583,1.0
13250440,19,1.732280135154724,1.0
17158415,19,1.2129974365234375,1.0
9654900,19,1.123022198677063,1.0
12180228,19,1.1119861602783203,1.0
9885454,19,1.2031922340393066,1.0
13732942,19,2.007675647735596,1.0
16986867,19,1.2781919240951538,1.0
14083680,19,1.1462771892547607,1.0
14066925,19,2.212799549102783,1.0
8603770,19,1.3658804893493652,1.0
244670,19,9.76169490814209,1.0
9711436,19,1.228290557861328,1.0
17891603,19,1.6009690761566162,1.0
8438073,19,1.249841570854187,1.0
8225948,19,1.1662329435348509,1.0
14632180,19,1.338237762451172,1.0
8231472,19,1.2654742002487185,1.0
16978214,19,1.4427415132522583,1.0
14761476,19,1.5598742961883545,1.0
18426434,19,1.404735803604126,1.0
10888018,19,1.116348147392273,1.0
10277847,19,1.7584269046783447,1.0
18004918,19,1.1319831609725952,1.0
17760223,19,1.1070948839187622,1.0
9345640,19,1.1103184223175049,1.0
17881979,19,1.2867263555526731,1.0
9724895,19,1.572410225868225,1.0
9801618,19,1.44670307636261,1.0
8721699,19,1.1465532779693604,1.0
17089652,19,1.320380687713623,1.0
13751238,19,1.1587555408477783,1.0
10250786,19,1.1312850713729858,1.0
13796726,19,1.714892864227295,1.0
17308557,19,1.2187011241912842,1.0
9355439,19,1.7843726873397827,1.0
9051080,19,1.1640119552612305,1.0
17757339,19,1.5124090909957886,1.0
15996482,19,1.1992250680923462,1.0
1039436,19,1.1698466539382937,1.0
12766336,19,1.1097562313079834,1.0
17868997,19,1.1144174337387085,1.0
15595158,19,1.1882097721099854,1.0
20025451,19,1.1049882173538208,1.0
18390234,19,1.3643710613250732,1.0
12639793,19,1.5711513757705688,1.0
7645673,19,1.1048156023025513,1.0
10176511,19,1.5421359539031982,1.0
10374091,19,1.112317442893982,1.0
9067174,19,1.3930630683898926,1.0
9235883,19,1.161029815673828,1.0
8292327,19,1.3860172033309937,1.0
10094365,19,1.4378451108932495,1.0
18306169,19,1.257493495941162,1.0
10329240,19,2.156602144241333,1.0
16907881,19,1.1115943193435671,1.0
13825636,19,1.1027847528457642,1.0
16517496,19,1.6180365085601809,1.0
9259594,19,3.10376524925232,1.0
19862361,19,1.2740861177444458,1.0
16530722,19,1.1315500736236572,1.0
13880986,19,1.127942681312561,1.0
8758647,19,1.1316840648651123,1.0
20398653,19,1.4332871437072754,1.0
10536219,19,1.6920933723449707,1.0
8423929,19,1.130050539970398,1.0
10724784,19,1.1974985599517822,1.0
16001261,19,1.33357834815979,1.0
15282185,19,1.1566797494888306,1.0
11469325,19,1.2537856101989746,1.0
17275741,19,1.3294477462768557,1.0
18475201,19,1.2881402969360352,1.0
10011808,19,1.521007061004639,1.0
9212872,19,1.52308452129364,1.0
8607285,19,1.2554450035095217,1.0
8406314,19,1.2180501222610474,1.0
16791966,19,1.140860080718994,1.0
9839172,19,1.1897237300872805,1.0
16680962,19,1.5048911571502686,1.0
14088298,19,1.229949712753296,1.0
20519791,19,1.3756271600723269,1.0
18849992,19,1.6471927165985107,1.0
153308,19,1.3779726028442385,1.0
11140836,19,1.4023963212966921,1.0
9830238,19,1.1079736948013306,1.0
9250333,19,1.3476632833480835,1.0
1784463,19,1.190595626831055,1.0
10476384,19,1.1752198934555054,1.0
8273411,19,1.557231068611145,1.0
14715401,19,1.2716515064239502,1.0
18381161,19,1.6388392448425293,1.0
14892359,19,1.1839500665664673,1.0
13965936,19,1.2201590538024902,1.0
9404307,19,1.230891466140747,1.0
1427447,19,1.1142033338546753,1.0
17113138,19,1.1618947982788086,1.0
10736949,19,1.1338835954666138,1.0
12673207,19,1.262728571891785,1.0
6643599,19,1.1135290861129759,1.0
19556663,19,1.273775577545166,1.0
8826312,19,1.1944279670715332,1.0
13892596,19,15.05306625366211,1.0
17150753,19,2.1032476425170903,1.0
9142107,19,1.1928967237472534,1.0
8749733,19,1.2565255165100098,1.0
16169302,19,1.1187121868133545,1.0
18197883,19,1.5822845697402954,1.0
8884849,19,1.8999325037002563,1.0
18478750,19,1.1213138103485107,1.0
10060829,19,1.520084023475647,1.0
13241492,19,1.120329737663269,1.0
12089855,19,1.4159512519836426,1.0
9164673,19,1.306709885597229,1.0
14329684,19,1.678769588470459,1.0
18719249,19,1.3081687688827517,1.0
17596949,19,1.404701590538025,1.0
9407314,19,1.1346371173858645,1.0
13672835,19,1.2025761604309082,1.0
13885345,19,1.163448929786682,1.0
8383464,19,1.581672191619873,1.0
15471805,19,1.390355944633484,1.0
13629343,19,1.6567482948303225,1.0
9103215,19,1.3707079887390137,1.0
12183209,19,1.1604703664779663,1.0
16753620,19,1.2083479166030884,1.0
17128461,19,1.111652374267578,1.0
8743717,19,1.201107621192932,1.0
16462660,19,1.2682029008865356,1.0
14800188,19,1.8993502855300903,1.0
16416251,19,1.3591978549957275,1.0
19634929,19,1.5022315979003906,1.0
14071649,19,1.4817649126052856,1.0
10184329,19,1.128646969795227,1.0
9936590,19,1.120120406150818,1.0
5963334,19,1.3151477575302124,1.0
8723902,19,1.142473578453064,1.0
629179,19,1.3617424964904783,1.0
18363467,19,1.6027125120162964,1.0
9314861,19,1.4996752738952637,1.0
10074039,19,1.4056843519210815,1.0
9332957,19,1.457406520843506,1.0
9661080,19,1.1756035089492798,1.0
13855393,19,4.236282825469972,1.0
18377511,18,1.355751633644104,1.26
13694516,18,1.3205455541610718,1.26
16494872,18,18.85833740234375,1.26
13787626,18,1.2163171768188477,1.26
8510330,18,1.1220321655273438,1.26
9737382,18,1.2825160026550293,1.26
8086782,18,1.2901164293289185,1.26
8549262,18,1.2880233526229858,1.26
9372228,18,1.3707188367843628,1.26
8886521,18,1.10383141040802,1.26
9049341,18,1.100780010223389,1.26
8355287,18,1.6013809442520142,1.26
10489107,18,1.101332187652588,1.26
13727899,18,1.626065731048584,1.26
17341514,18,1.1490092277526855,1.26
8151798,18,1.1717242002487185,1.26
10325490,18,1.1587835550308228,1.26
13176886,18,1.1626524925231934,1.26
13202230,18,1.1843947172164917,1.26
10878256,18,1.3087643384933472,1.26
8831030,18,1.2510405778884888,1.26
9083852,18,6.788958549499513,1.26
14805237,18,1.291877269744873,1.26
17668706,18,1.7311838865280151,1.26
