GalaxyID,GroupID,SnapNum,Redshift,SubGroupNumber,CentreOfPotential_x,CentreOfPotential_y,CentreOfPotential_z,Stars_Mass,SF_Mass,NSF_Mass,MassType_DM,MassType_BH,HalfMassRad_Star,HalfMassRad_Gas,HalfMassRad_DM,Stars_Hydrogen,Stars_Oxygen,Stars_Metallicity,SF_Hydrogen,SF_Oxygen,SF_Metallicity,NSF_Hydrogen,NSF_Oxygen,NSF_Metallicity,StarFormationRate,InitialMassWeightedStellarAge,ApertureSize,Mass_Star,SFR_30pkpc,Group_R_Crit200,Group_M_Crit200
18423921,28000000001037,28,2.220446049250313e-16,0,70.162353515625,52.08674240112305,72.610107421875,44049686528.0,5735408128.0,71079641088.0,1466104283136.0,36404284.0,6.516085624694824,162.45394897460938,94.35902404785156,0.7044245004653931,0.009654417634010315,0.021789241582155228,0.6683320999145508,0.015465456061065197,0.03732413798570633,0.7432337999343872,0.0017556690145283937,0.003996232058852911,2.434661626815796,7.046523571014404,30,40623058944.0,2.43224835395813,241.9524383544922,1512721350656.0
8826312,28000000001087,28,2.220446049250313e-16,0,92.93754577636719,76.0257339477539,49.5439338684082,12751224832.0,784279936.0,68505817088.0,1095520813056.0,18508854.0,3.852219820022583,165.43069458007812,103.90404510498047,0.7046073079109192,0.009556726552546024,0.021621832624077797,0.6926996111869812,0.011606360785663128,0.026991399005055428,0.746182382106781,0.0011724330252036452,0.002661868231371045,0.2874288856983185,6.473088264465332,30,11854735360.0,0.14808616042137146,237.64231872558594,1433236144128.0
18468602,28000000001089,28,2.220446049250313e-16,0,80.03384399414062,46.207176208496094,50.32404708862305,44465205248.0,0.0,4981560320.0,1609067397120.0,73941568.0,4.271990776062012,251.72836303710938,97.79431915283203,0.7022036910057068,0.010212565772235394,0.022675015032291412,0.0,0.0,0.0,0.7383140921592712,0.002732209861278534,0.006238420493900776,0.0,9.384692192077637,30,41529831424.0,0.0,242.51956176757812,1523441205248.0
8887632,28000000001136,28,2.220446049250313e-16,0,50.47489929199219,86.08303833007812,3.2208657264709473,30171578368.0,4264976640.0,58697871360.0,1306048724992.0,34309708.0,4.213197231292725,173.7886505126953,108.91654968261719,0.6999955773353577,0.010374163277447224,0.023677699267864227,0.6725314259529114,0.014791457913815975,0.03563613072037697,0.745096743106842,0.0013724928721785545,0.003144368063658476,1.5827946662902832,7.428128242492676,30,29291718656.0,1.579598307609558,227.70367431640625,1260857327616.0
8890851,28000000001139,28,2.220446049250313e-16,0,40.145259857177734,45.517704010009766,97.81902313232422,26962771968.0,26806414.0,53260947456.0,1015197401088.0,10950690.0,2.8892195224761963,157.1739501953125,90.00476837158203,0.7054858803749084,0.009758707135915756,0.021391628310084343,0.6899473667144775,0.01308797299861908,0.028433503583073616,0.7437081336975098,0.0017364535015076399,0.003840169869363308,0.008901743218302727,8.337051391601562,30,25328652288.0,0.003843759186565876,209.56053161621094,982831464448.0
8965614,28000000001191,28,2.220446049250313e-16,0,7.034956455230713,35.42681884765625,41.812583923339844,26237222912.0,300540896.0,38424596480.0,1128047575040.0,27274996.0,6.554194927215576,211.6341094970703,101.71099090576172,0.7055588960647583,0.009410678409039974,0.021304311230778694,0.6228168606758118,0.020979471504688263,0.05689230561256409,0.7435895800590515,0.001649901270866394,0.0038271204102784395,0.18176805973052979,6.8995256423950195,30,24235241472.0,0.18176805973052979,209.9105224609375,987693711360.0
8970962,28000000001194,28,2.220446049250313e-16,0,24.338443756103516,77.20634460449219,42.212276458740234,40888614912.0,5277232640.0,62389342208.0,1203426689024.0,23595514.0,5.926761627197266,156.2726593017578,83.71207427978516,0.6946712732315063,0.011208311654627323,0.025898892432451248,0.651513397693634,0.018092693760991096,0.04423968493938446,0.7425984740257263,0.0018416587263345718,0.004248189739882946,2.3643672466278076,8.140433311462402,30,39669743616.0,2.3560359477996826,226.4036102294922,1239242506240.0
9024231,28000000001225,28,2.220446049250313e-16,0,14.68683910369873,9.991774559020996,86.02129364013672,31126052864.0,2404177408.0,48123785216.0,1265843437568.0,37526032.0,5.122014045715332,170.9327392578125,97.66696166992188,0.7010250091552734,0.010055622085928917,0.023158468306064606,0.6375769972801208,0.020220959559082985,0.050221800804138184,0.746494710445404,0.0010797269642353058,0.0024988572113215923,1.7130908966064453,7.689379692077637,30,30107826176.0,1.7130908966064453,229.01194763183594,1282590375936.0
9101581,28000000001275,28,2.220446049250313e-16,0,29.14303207397461,79.26885986328125,48.99064636230469,19829983232.0,560420928.0,15979068416.0,677199020032.0,18137012.0,2.903796911239624,151.6420135498047,84.8049087524414,0.6946184635162354,0.011218715459108353,0.025895677506923676,0.6340337991714478,0.019439589232206345,0.05211961269378662,0.7421948909759521,0.0019173759501427412,0.004449805710464716,0.31193703413009644,7.602983474731445,30,19620909056.0,0.31193703413009644,179.85354614257812,621272825856.0
9121172,28000000001288,28,2.220446049250313e-16,0,54.605857849121094,39.19032669067383,37.89005661010742,33718241280.0,1235427200.0,20152213504.0,1206645424128.0,39990692.0,5.053238391876221,180.14256286621094,89.51155090332031,0.7060195803642273,0.009367506951093674,0.021118246018886566,0.659303605556488,0.016531435772776604,0.04141666740179062,0.7426416873931885,0.0018265716498717666,0.0042509823106229305,0.6792153716087341,8.109301567077637,30,31789234176.0,0.6792153716087341,222.38858032226562,1174475767808.0
9197966,28000000001338,28,2.220446049250313e-16,0,80.54955291748047,63.2706184387207,46.2981071472168,7140250112.0,62007864.0,25000658944.0,1279697616896.0,41165952.0,3.9381134510040283,170.52821350097656,105.44955444335938,0.7339205145835876,0.004554622806608677,0.008996875025331974,0.7023276686668396,0.01045244187116623,0.023221256211400032,0.7483919262886047,0.0007818033918738365,0.001708403811790049,0.025523828342556953,11.858195304870605,30,6303753728.0,0.012555318884551525,221.57485961914062,1161582084096.0
9242748,28000000001369,28,2.220446049250313e-16,0,68.99075317382812,32.172489166259766,22.24810028076172,6399092736.0,1387541504.0,10816577536.0,481659584512.0,9127110.0,3.619981288909912,99.05675506591797,91.00521850585938,0.7113008499145508,0.008268773555755615,0.018669990822672844,0.6865254640579224,0.012658520601689816,0.02970438078045845,0.7426294684410095,0.0019323289161548018,0.004329705610871315,0.5531327724456787,6.319893836975098,30,6170799104.0,0.5531327724456787,159.12696838378906,430323531776.0
9296340,28000000001406,28,2.220446049250313e-16,0,64.48635864257812,36.34400177001953,16.19791603088379,31592142848.0,5373688832.0,36945907712.0,987537408000.0,32090068.0,6.149693965911865,138.19412231445312,91.66619110107422,0.7056303024291992,0.009510553441941738,0.021299583837389946,0.673915445804596,0.01488431915640831,0.035331252962350845,0.739118218421936,0.002596334321424365,0.005905501544475555,1.8110458850860596,6.1839470863342285,30,29584582656.0,1.6674939393997192,210.1295928955078,990703976448.0
9348795,28000000001442,28,2.220446049250313e-16,0,28.21384620666504,78.58222961425781,62.158348083496094,12910505984.0,2403899904.0,47769976832.0,930220343296.0,25519814.0,5.598262786865234,140.47637939453125,104.29373168945312,0.7128275036811829,0.008165617473423481,0.018133653327822685,0.6832300424575806,0.013115298934280872,0.031155280768871307,0.7463698983192444,0.0011715661967173219,0.0026075164787471294,1.0085984468460083,5.748538017272949,30,11732155392.0,0.9813073873519897,212.32901000976562,1022151098368.0
9372228,28000000001460,28,2.220446049250313e-16,0,76.98629760742188,23.974143981933594,71.07585144042969,13237507072.0,3280545280.0,37285302272.0,800132169728.0,10852431.0,6.43789529800415,141.09010314941406,104.94872283935547,0.7096264362335205,0.008770095184445381,0.01958153210580349,0.6865803003311157,0.012694085016846657,0.029608018696308136,0.7463475465774536,0.0011698834132403135,0.002616777317598462,1.2991694211959839,6.616971969604492,30,12853261312.0,1.2991694211959839,192.367919921875,760237719552.0
9604695,28000000001510,28,2.220446049250313e-16,0,71.9550552368164,8.194878578186035,90.65071105957031,21640024064.0,598048832.0,31070158848.0,926458642432.0,36567804.0,3.7466909885406494,162.2415771484375,87.00460815429688,0.7058399319648743,0.00936545804142952,0.021131834015250206,0.648037850856781,0.01786254718899727,0.04589949920773506,0.7449227571487427,0.0014096909435465932,0.003219714155420661,0.39686545729637146,6.7867631912231445,30,20949510144.0,0.3952667713165283,205.4305877685547,925932257280.0
