GalaxyID,NSF_Mass,KappaCoRot,SubHaloGalaxyID
10657115,15190730000.0,0.19263847699166914,10657115
11045632,19154684000.0,0.18820700994942943,11045632
11045631,23894080000.0,0.46503311340561754,11045631
11045631,23894080000.0,0.46503311340561754,11045631
11045630,22246541000.0,0.1693503813685809,11045630
11339156,10664595000.0,0.4989947935854084,11339156
11339155,10449929000.0,0.36059539437715854,11339155
19104588,373955300000.0,0.29157775699193184,19104588
19104587,505064620000.0,0.1582625299873315,19104587
12648895,40602850000.0,0.21871336691520007,12648895
12648894,45132222000.0,0.35550645723472357,12648894
12648894,45132222000.0,0.35550645723472357,12648894
12648893,51568247000.0,0.37114108904900184,12648893
12648883,289893400000.0,0.21301945396419453,12648883
12648882,308198300000.0,0.2297170033062663,12648882
12654699,42034205000.0,0.2454977383173517,12654699
12654698,48863730000.0,0.21201074272321763,12654698
13720607,50703553000.0,0.3181673233805486,13720607
13720606,43055390000.0,0.18427800550272358,13720606
20770192,36390990000.0,0.18834354833881764,20770192
20770191,76124865000.0,0.2628581141832489,20770191
20770191,76124865000.0,0.2628581141832489,20770191
20770190,88896460000.0,0.4359105101951677,20770190
20770185,1299768400.0,0.22397243114269727,20770185
20770184,383109270000.0,0.22019724799008464,20770184
13817852,12578715000.0,0.2237738606185398,13817852
13817851,14881282000.0,0.300638926651604,13817851
14449276,349062270000.0,0.18646392404065368,14449276
14449275,331760000000.0,0.12200829118992779,14449275
14582108,322014180000.0,0.19614052871969215,14582108
14582107,522704100000.0,0.18394002188971906,14582107
10663968,14957515000.0,0.19925361568556094,10663968
10663967,18142368000.0,0.17810325131011864,10663967
10644473,14759327000.0,0.16682221144457007,10644473
10644472,18356759000.0,0.18387330534050533,10644472
10645740,36904780000.0,0.21204454386831806,10645740
10645739,50706964000.0,0.2738127193021354,10645739
10645739,50706964000.0,0.2738127193021354,10645739
10645738,53658580000.0,0.30681319251626743,10645738
10645731,41297105000.0,0.20382715092716513,10645731
10645730,4137005600.0,0.13909255811721905,10645730
10649331,7346009600.0,0.2650616088410925,10649331
10649325,57426340000.0,0.38395871852668645,10649325
10649324,55516447000.0,0.4500838876879986,10649324
10653930,39261557000.0,0.4176895731718555,10653930
10653929,43790200000.0,0.3168645587263213,10653929
10655587,27117560000.0,0.3707588823588652,10655587
10655586,30144688000.0,0.18801009432238708,10655586
10627709,32427560000.0,0.3125903966557901,10627709
10627709,32427560000.0,0.3125903966557901,10627709
10627708,38904263000.0,0.4408248127498063,10627708
10627707,38531500000.0,0.31659806696160187,10627707
10627706,41288585000.0,0.25747455037868633,10627706
10629936,46684045000.0,0.1411013981393084,10629936
10629935,59561955000.0,0.13323700380767026,10629935
10632954,45299306000.0,0.1805053297570415,10632954
10632953,50351860000.0,0.15639122340035022,10632953
10632947,324358140000.0,0.49082273206473304,10632947
10632946,321187740000.0,0.3280557761407797,10632946
10639657,10899479000.0,0.24000132155276213,10639657
10639656,9819252000.0,0.20526944822096638,10639656
10639652,41830540000.0,0.25385759436263616,10639652
10639651,45332390000.0,0.36507480245423035,10639651
13296302,10304627000.0,0.1831315223988219,13296302
13296301,10644573000.0,0.2031679945174622,13296301
13296298,20746338000.0,0.3352323119249474,13296298
13296297,19808369000.0,0.28446538592018383,13296297
20278408,31118211000.0,0.28691010638878406,20278408
20278407,89643065000.0,0.33282741907825975,20278407
20278406,166780910000.0,0.33862413755581616,20278406
20278405,200470820000.0,0.17716470027958825,20278405
20278404,267532140000.0,0.1843879827655109,20278404
20278403,474221300000.0,0.23152702529430522,20278403
20278402,697746900000.0,0.37595694129454155,20278402
20278401,1012849400000.0,0.2764716349806449,20278401
615906,7050694700.0,0.24374081181644688,615906
615905,11316927000.0,0.2965199438681005,615905
11269156,11818116000.0,0.29810988800711136,11269156
11269155,15940926000.0,0.36291421249798256,11269155
20532211,49049768000.0,0.2618452485194163,20532211
20532210,103760010000.0,0.5577609346406591,20532210
20532210,103760010000.0,0.5577609346406591,20532210
20532209,211463470000.0,0.32248867827999167,20532209
20532204,1641851800000.0,0.31042865713227097,20532204
20532203,2702112500000.0,0.1445659963465672,20532203
17618673,65435165000.0,0.38353535700087943,17618673
