GalaxyID_snap28,GalaxyID,Lm_max,GroupID,SubGroupNumber,LastProgID,TopLeafID,DescendantID,SnapNum,Stars_Mass,SF_Hydrogen,SF_Oxygen,Redshift,StarFormationRate,Stars_Metallicity,SF_Mass,NSF_Mass,BlackHoleMass,MassType_DM,SF_Metallicity,Vmax,CentreOfPotential_x,CentreOfPotential_y,CentreOfPotential_z,HalfMassRad_Star,sSFR,SF_logOH,tiempo
10400500,10400509,1.160961389541626,19000400000481,0,10400946,10400527,10400508,19,8285127700.0,0.7201283,0.0066718305,1.0041217,3.6794422,0.012667855,5847618600.0,13156661000.0,1103277.0,507409600000.0,0.014791282,185.35068,99.2482,28.797358,31.618498,3.0820544,4.4410206e-10,8.762715,5.8637867
10400500,10400508,1.160961389541626,20000000002625,0,10401230,10400527,10400507,20,11024463000.0,0.70224386,0.010379322,0.86505055,5.411129,0.014076781,4512237000.0,13632410000.0,1540050.4,556931940000.0,0.022964295,175.07654,99.08149,28.770723,31.905342,2.3954878,4.9082927e-10,8.965562,6.471967
10888018,10888028,1.116348147392273,18000000003724,0,10888362,10888042,10888027,18,3260185300.0,0.72418904,0.0067272154,1.2593315,1.8968847,0.007688152,3031747600.0,15696635000.0,605919.5,309029600000.0,0.013660701,132.33432,47.81049,78.94277,66.66304,3.584116,5.8183336e-10,8.763864,4.9582767
10888018,10888027,1.116348147392273,19000600000468,0,10888553,10888042,10888026,19,5137294300.0,0.7159833,0.007885849,1.0041217,2.6599014,0.010363868,3982118400.0,14327066000.0,815449.06,317532140000.0,0.016948195,138.97644,47.75193,79.03546,66.277145,2.8221138,5.177631e-10,8.837826,5.8637867
12174564,12174577,1.1021325588226318,15000100000629,0,12174857,12174589,12174576,15,2344140000.0,0.7372051,0.00405572,2.0124102,2.070238,0.004749394,3271384000.0,27634065000.0,523650.56,375964200000.0,0.0074482537,141.91902,22.260983,67.74462,11.987868,2.6395812,8.831546e-10,8.53636,3.2762244
12174564,12174576,1.1021325588226318,16000000001751,0,12174988,12174589,12174575,16,3826311200.0,0.73480636,0.00453516,1.7369658,4.382335,0.005633386,6725532000.0,34787082000.0,990409.56,509940040000.0,0.008629983,171.11198,22.398499,67.76191,11.981378,3.555491,1.145316e-09,8.5863,3.7668543
12174564,12174573,1.3340568542480469,19000100000308,0,12175659,12174589,12174572,19,15495754000.0,0.7107349,0.009029731,1.0041217,7.1593795,0.012435585,11275837000.0,83818860000.0,1995979.8,1170153400000.0,0.019309461,179.91385,23.3437,67.61486,11.3391075,4.452892,4.6202203e-10,8.899848,5.8637867
12174564,12174572,1.3340568542480469,20000000000891,0,12176144,12174589,12174571,20,24998975000.0,0.70763034,0.009559036,0.86505055,12.56051,0.014195819,17622047000.0,83340820000.0,3485042.2,1205976400000.0,0.020644993,202.62073,23.553421,67.59753,11.243726,4.8454256,5.02441e-10,8.926488,6.471967
12176835,12176839,1.265763521194458,24000000000062,1,12177708,12176862,12176838,24,21057665000.0,0.69872737,0.010908793,0.36566857,3.9160683,0.016906988,8085739500.0,7899105000.0,14414829.0,629130900000.0,0.024512146,177.6114,24.229965,65.890114,9.04927,3.8239098,1.8596878e-10,8.989349,9.698071
12176835,12176838,1.265763521194458,25000000000050,3,12178119,12176862,12176837,25,30228984000.0,0.6819513,0.013820841,0.27090108,6.2619276,0.018477533,7843552000.0,2751989000.0,14777493.0,449249050000.0,0.031700898,197.25816,24.110718,66.218605,9.771915,4.6472397,2.0714978e-10,9.102661,10.576508
