GalaxyID,NSF_Mass,R_halfmass30,R_halfmass100,SubHaloGalaxyID
10639652,41830540000.0,2.8153221353789566,2.9959546239502735,10639652
10639651,45332390000.0,4.041086943479612,4.231466083178145,10639651
13296302,10304627000.0,2.7915227501110054,2.8427213428997873,13296302
13296301,10644573000.0,2.5037941095903697,2.517565817306878,13296301
13296298,20746338000.0,2.5349361302881466,2.674830483878424,13296298
13296297,19808369000.0,2.8362142717035264,2.9642293712948176,13296297
20278408,31118211000.0,4.739905030441066,5.75602932996003,20278408
20278407,89643065000.0,3.547244102106551,3.8322321120262623,20278407
20278406,166780910000.0,3.7384920208955412,4.861570037158262,20278406
20278405,200470820000.0,1.7479753296067109,2.9372611048049815,20278405
20278404,267532140000.0,3.637976068200814,8.333703141083268,20278404
20278403,474221300000.0,3.9191467403365117,6.149538514820595,20278403
20278402,697746900000.0,5.026056277372748,8.800059519207892,20278402
20278401,1012849400000.0,6.178493959426519,10.097686478955488,20278401
615906,7050694700.0,3.1419218605912467,3.1440127942639946,615906
615905,11316927000.0,3.0736727760831677,3.1494619004061173,615905
11269156,11818116000.0,3.051828821148143,3.19591669124184,11269156
11269155,15940926000.0,3.2050220139986174,3.226204518547739,11269155
20532211,49049768000.0,1.3019667445034167,1.3782574668254592,20532211
20532210,103760010000.0,0.7980534058957177,0.8528882784792933,20532210
20532210,103760010000.0,0.7980534058957177,0.8528882784792933,20532210
20532209,211463470000.0,0.9911216634508107,1.1352503945790888,20532209
20532204,1641851800000.0,1.7030891979093512,3.306307687661379,20532204
20532203,2702112500000.0,2.2817550349592075,5.827623584594449,20532203
17618673,65435165000.0,3.923044459922361,5.260552908296774,17618673
17618672,72102430000.0,3.7676339351756036,4.544262749216621,17618672
17618665,672639400000.0,6.44519025793955,9.233968161332893,17618665
17618664,644091500000.0,6.057384311356851,8.557910443418637,17618664
19943802,562962600000.0,1.9197420724742178,14.782350562531002,19943802
19943801,467348720000.0,4.288496040312982,9.260329391206566,19943801
234345,11702359000.0,4.536022003235836,4.642214364616245,234345
16291716,40832287000.0,3.2955074307186663,3.3947831306626277,16291716
16291715,53522770000.0,1.223537641054808,1.31809104285266,16291715
16291711,176305930000.0,1.2914082304718872,1.7919530213861719,16291711
16291710,134921190000.0,3.0955943930507908,4.364167662791791,16291710
16291703,345843430000.0,6.406928863330741,9.820940748623945,16291703
16291702,378799330000.0,5.702410345890519,7.759752495189371,16291702
11492344,12837349000.0,2.735112484706979,2.7702981770192134,11492344
11492343,16186505000.0,2.7484802848814005,2.776193250202012,11492343
11492343,16186505000.0,2.7484802848814005,2.776193250202012,11492343
11492342,31290980000.0,3.561785525971615,3.7232475168010195,11492342
